40, 1000013, 1000039, 1000065, 1000091, 73.0, 78.0, 107.0, 112.0, 
41, 1000014, 1000040, 1000066, 1000092, 74.0, 79.0, 108.0, 113.0, 
42, 1000015, 1000041, 1000067, 1000093, 75.0, 80.0, 109.0, 114.0, 
43, 1000016, 1000042, 1000068, 1000094, 76.0, 81.0, 110.0, 115.0, 
44, 1000017, 1000043, 1000069, 1000095, 77.0, 82.0, 111.0, 116.0, 
45, 1000018, 1000044, 1000070, 1000096, 90.0, 83.0, 112.0, 117.0, 
46, 1000019, 1000045, 1000071, 1000097, 91.0, 96.0, 113.0, 118.0, 
47, 1000020, 1000046, 1000072, 1000098, 92.0, 97.0, 126.0, 119.0, 
48, 1000021, 1000047, 1000073, 1000099, 93.0, 98.0, 127.0, 132.0, 
49, 1000022, 1000048, 1000074, 1000100, 94.0, 99.0, 128.0, 133.0, 
50, 1000023, 1000049, 1000075, 1000101, 95.0, 100.0, 129.0, 134.0, 
51, 1000024, 1000050, 1000076, 1000102, 96.0, 101.0, 130.0, 135.0, 
52, 1000025, 1000051, 1000077, 1000103, 97.0, 102.0, 131.0, 136.0, 
53, 1000026, 1000052, 1000078, 1000104, 98.0, 103.0, 132.0, 137.0, 
54, 1000000, 1000053, 1000079, 1000105, 96.0, 104.0, 133.0, 138.0, 
55, 1000001, 1000027, 1000080, 1000106, 97.0,  , 134.0, 139.0, 
56, 1000002, 1000028, 1000054, 1000107, 98.0,  ,  , 140.0, 
57, 1000003, 1000029, 1000055, 1000081, 99.0,  ,  ,  , 
58, 1000004, 1000030, 1000056, 1000082, 100.0,  ,  ,  , 
59, 1000005, 1000031, 1000057, 1000083, 101.0,  ,  ,  , 
60, 1000006, 1000032, 1000058, 1000084, 102.0,  ,  ,  , 
61, 1000007, 1000033, 1000059, 1000085, 103.0,  ,  ,  , 
62, 1000008, 1000034, 1000060, 1000086, 104.0,  ,  ,  , 
63, 1000009, 1000035, 1000061, 1000087, 117.0,  ,  ,  , 
64, 1000010, 1000036, 1000062, 1000088, 118.0,  ,  ,  , 
65, 1000011, 1000037, 1000063, 1000089, 119.0,  ,  ,  , 
66, 1000012, 1000038, 1000064, 1000090, 120.0,  ,  ,  , 
67, 1000013, 1000039, 1000065, 1000091, 121.0,  ,  ,  , 
68, 1000014, 1000040, 1000066, 1000092, 122.0,  ,  ,  , 
69, 1000015, 1000041, 1000067, 1000093, 123.0,  ,  ,  , 
70, 1000016, 1000042, 1000068, 1000094, 124.0,  ,  ,  , 
71, 1000017, 1000043, 1000069, 1000095, 125.0,  ,  ,  , 
72, 1000018, 1000044, 1000070, 1000096, 138.0,  ,  ,  , 
73, 1000019, 1000045, 1000071, 1000097, 139.0,  ,  ,  , 
74, 1000020, 1000046, 1000072, 1000098, 140.0,  ,  ,  , 
75, 1000021, 1000047, 1000073, 1000099, 141.0,  ,  ,  , 
76, 1000022, 1000048, 1000074, 1000100, 142.0,  ,  ,  , 
77, 1000023, 1000049, 1000075, 1000101, 143.0,  ,  ,  , 
78, 1000024, 1000050, 1000076, 1000102, 144.0,  ,  ,  , 
79, 1000025, 1000051, 1000077, 1000103, 145.0,  ,  ,  , 
80, 1000026, 1000052, 1000078, 1000104, 146.0,  ,  ,  , 
81, 1000108, 1000053, 1000079, 1000105, 0,  ,  ,  , 
82, 1000109, 1000135, 1000080, 1000106, 1, 6,  ,  , 
83, 1000110, 1000136, 1000162, 1000107, 2, 7, 12,  , 
84, 1000111, 1000137, 1000163, 1000189, 3, 8, 13, 18, 
85, 1000112, 1000138, 1000164, 1000190, 4, 9, 14, 19, 
86, 1000113, 1000139, 1000165, 1000191, 5, 10, 15, 20, 
87, 1000114, 1000140, 1000166, 1000192, 6, 11, 16, 21, 
88, 1000115, 1000141, 1000167, 1000193, 7, 12, 17, 22, 
89, 1000116, 1000142, 1000168, 1000194, 8, 13, 18, 23, 
90, 1000117, 1000143, 1000169, 1000195, 21, 14, 19, 24, 
91, 1000118, 1000144, 1000170, 1000196, 22, 27, 20, 25, 
92, 1000119, 1000145, 1000171, 1000197, 23, 28, 33, 26, 
93, 1000120, 1000146, 1000172, 1000198, 24, 29, 34, 39, 
94, 1000121, 1000147, 1000173, 1000199, 25, 30, 35, 40, 
95, 1000122, 1000148, 1000174, 1000200, 26, 31, 36, 41, 
96, 1000123, 1000149, 1000175, 1000201, 27, 32, 37, 42, 
97, 1000124, 1000150, 1000176, 1000202, 28, 33, 38, 43, 
98, 1000125, 1000151, 1000177, 1000203, 29, 34, 39, 44, 
99, 1000126, 1000152, 1000178, 1000204, 42, 35, 40, 45, 
100, 1000127, 1000153, 1000179, 1000205, 43, 48, 41, 46, 
101, 1000128, 1000154, 1000180, 1000206, 44, 49, 54, 47, 
102, 1000129, 1000155, 1000181, 1000207, 45, 50, 55, 60, 
