41, 1000014, 1000040, 1000066, 1000092, 38, 46.0, 48.0, 50.0, 
42, 1000015, 1000041, 1000067, 1000093, 39, 47.0, 49.0, 51.0, 
43, 1000016, 1000042, 1000068, 1000094, 40, 48.0, 50.0, 52.0, 
44, 1000017, 1000043, 1000069, 1000095, 41, 49.0, 51.0, 53.0, 
45, 1000018, 1000044, 1000070, 1000096, 54, 50.0, 52.0, 54.0, 
46, 1000019, 1000045, 1000071, 1000097, 55, 63.0, 53.0, 55.0, 
47, 1000020, 1000046, 1000072, 1000098, 56, 64.0, 66.0, 56.0, 
48, 1000021, 1000047, 1000073, 1000099, 57, 65.0, 67.0, 69.0, 
49, 1000022, 1000048, 1000074, 1000100, 58, 66.0, 68.0, 70.0, 
50, 1000023, 1000049, 1000075, 1000101, 59, 67.0, 69.0, 71.0, 
51, 1000024, 1000050, 1000076, 1000102, 60, 68.0, 70.0, 72.0, 
52, 1000025, 1000051, 1000077, 1000103, 61, 69.0, 71.0, 73.0, 
53, 1000026, 1000052, 1000078, 1000104, 62, 70.0, 72.0, 74.0, 
54, 1000000, 1000053, 1000079, 1000105, 30.0, 71.0, 73.0, 75.0, 
55, 1000001, 1000027, 1000080, 1000106, 31.0, 33.0, 74.0, 76.0, 
56, 1000002, 1000028, 1000054, 1000107, 32.0, 34.0, 42.0, 77.0, 
57, 1000003, 1000029, 1000055, 1000081, 33.0, 35.0, 43.0, 45.0, 
58, 1000004, 1000030, 1000056, 1000082, 34.0, 36.0, 44.0, 46.0, 
59, 1000005, 1000031, 1000057, 1000083, 35.0, 37.0, 45.0, 47.0, 
60, 1000006, 1000032, 1000058, 1000084, 36.0, 38.0, 46.0, 48.0, 
61, 1000007, 1000033, 1000059, 1000085, 37.0, 39.0, 47.0, 49.0, 
62, 1000008, 1000034, 1000060, 1000086, 38.0, 40.0, 48.0, 50.0, 
63, 1000009, 1000035, 1000061, 1000087, 51.0, 41.0, 49.0, 51.0, 
64, 1000010, 1000036, 1000062, 1000088, 52.0, 54.0, 50.0, 52.0, 
65, 1000011, 1000037, 1000063, 1000089, 53.0, 55.0, 63.0, 53.0, 
66, 1000012, 1000038, 1000064, 1000090, 54.0, 56.0, 64.0, 66.0, 
67, 1000013, 1000039, 1000065, 1000091, 55.0, 57.0, 65.0, 67.0, 
68, 1000014, 1000040, 1000066, 1000092, 56.0, 58.0, 66.0, 68.0, 
69, 1000015, 1000041, 1000067, 1000093, 57.0, 59.0, 67.0, 69.0, 
70, 1000016, 1000042, 1000068, 1000094, 58.0, 60.0, 68.0, 70.0, 
71, 1000017, 1000043, 1000069, 1000095, 59.0, 61.0, 69.0, 71.0, 
72, 1000018, 1000044, 1000070, 1000096, 72.0, 62.0, 70.0, 72.0, 
73, 1000019, 1000045, 1000071, 1000097, 73.0, 75.0, 71.0, 73.0, 
74, 1000020, 1000046, 1000072, 1000098, 74.0, 76.0, 84.0, 74.0, 
75, 1000021, 1000047, 1000073, 1000099, 75.0, 77.0, 85.0, 87.0, 
76, 1000022, 1000048, 1000074, 1000100, 76.0, 78.0, 86.0, 88.0, 
77, 1000023, 1000049, 1000075, 1000101, 77.0, 79.0, 87.0, 89.0, 
78, 1000024, 1000050, 1000076, 1000102, 78.0, 80.0, 88.0, 90.0, 
79, 1000025, 1000051, 1000077, 1000103, 79.0, 81.0, 89.0, 91.0, 
80, 1000026, 1000052, 1000078, 1000104, 80.0, 82.0, 90.0, 92.0, 
81, 1000000, 1000053, 1000079, 1000105, 48.0, 83.0, 91.0, 93.0, 
82, 1000001, 1000027, 1000080, 1000106, 49.0, 51.0, 92.0, 94.0, 
83, 1000002, 1000028, 1000054, 1000107, 50.0, 52.0, 54.0, 95.0, 
84, 1000003, 1000029, 1000055, 1000081, 51.0, 53.0, 55.0, 63.0, 
85, 1000004, 1000030, 1000056, 1000082, 52.0, 54.0, 56.0, 64.0, 
86, 1000005, 1000031, 1000057, 1000083, 53.0, 55.0, 57.0, 65.0, 
87, 1000006, 1000032, 1000058, 1000084, 54.0, 56.0, 58.0, 66.0, 
88, 1000007, 1000033, 1000059, 1000085, 55.0, 57.0, 59.0, 67.0, 
89, 1000008, 1000034, 1000060, 1000086, 56.0, 58.0, 60.0, 68.0, 
90, 1000009, 1000035, 1000061, 1000087, 69.0, 59.0, 61.0, 69.0, 
91, 1000010, 1000036, 1000062, 1000088, 70.0, 72.0, 62.0, 70.0, 
92, 1000011, 1000037, 1000063, 1000089, 71.0, 73.0, 75.0, 71.0, 
93, 1000012, 1000038, 1000064, 1000090, 72.0, 74.0, 76.0, 84.0, 
94, 1000013, 1000039, 1000065, 1000091, 73.0, 75.0, 77.0, 85.0, 
95, 1000014, 1000040, 1000066, 1000092, 74.0, 76.0, 78.0, 86.0, 
96, 1000015, 1000041, 1000067, 1000093, 75.0, 77.0, 79.0, 87.0, 
97, 1000016, 1000042, 1000068, 1000094, 76.0, 78.0, 80.0, 88.0, 
98, 1000017, 1000043, 1000069, 1000095, 77.0, 79.0, 81.0, 89.0, 
99, 1000018, 1000044, 1000070, 1000096, 90.0, 80.0, 82.0, 90.0, 
100, 1000019, 1000045, 1000071, 1000097, 91.0, 93.0, 83.0, 91.0, 
101, 1000020, 1000046, 1000072, 1000098, 92.0, 94.0, 96.0, 92.0, 
102, 1000021, 1000047, 1000073, 1000099, 93.0, 95.0, 97.0, 105.0, 
103, 1000022, 1000048, 1000074, 1000100, 94.0, 96.0, 98.0, 106.0, 
104, 1000023, 1000049, 1000075, 1000101, 95.0, 97.0, 99.0, 107.0, 
105, 1000024, 1000050, 1000076, 1000102, 96.0, 98.0, 100.0, 108.0, 
106, 1000025, 1000051, 1000077, 1000103, 97.0, 99.0, 101.0, 109.0, 
107, 1000026, 1000052, 1000078, 1000104, 98.0, 100.0, 102.0, 110.0, 
108, 1000000, 1000053, 1000079, 1000105, 66.0, 101.0, 103.0, 111.0, 
109, 1000001, 1000027, 1000080, 1000106, 67.0, 69.0, 104.0, 112.0, 
110, 1000002, 1000028, 1000054, 1000107, 68.0, 70.0, 72.0, 113.0, 
111, 1000003, 1000029, 1000055, 1000081, 69.0, 71.0, 73.0, 75.0, 
112, 1000004, 1000030, 1000056, 1000082, 70.0, 72.0, 74.0, 76.0, 
113, 1000005, 1000031, 1000057, 1000083, 71.0, 73.0, 75.0, 77.0, 
114, 1000006, 1000032, 1000058, 1000084, 72.0, 74.0, 76.0, 78.0, 
115, 1000007, 1000033, 1000059, 1000085, 73.0, 75.0, 77.0, 79.0, 
116, 1000008, 1000034, 1000060, 1000086, 74.0, 76.0, 78.0, 80.0, 
117, 1000009, 1000035, 1000061, 1000087, 87.0, 77.0, 79.0, 81.0, 
118, 1000010, 1000036, 1000062, 1000088, 88.0, 90.0, 80.0, 82.0, 
119, 1000011, 1000037, 1000063, 1000089, 89.0, 91.0, 93.0, 83.0, 
120, 1000012, 1000038, 1000064, 1000090, 90.0, 92.0, 94.0, 96.0, 
121, 1000013, 1000039, 1000065, 1000091, 91.0, 93.0, 95.0, 97.0, 
122, 1000014, 1000040, 1000066, 1000092, 92.0, 94.0, 96.0, 98.0, 
123, 1000015, 1000041, 1000067, 1000093, 93.0, 95.0, 97.0, 99.0, 
124, 1000016, 1000042, 1000068, 1000094, 94.0, 96.0, 98.0, 100.0, 
125, 1000017, 1000043, 1000069, 1000095, 95.0, 97.0, 99.0, 101.0, 
126, 1000018, 1000044, 1000070, 1000096, 108.0, 98.0, 100.0, 102.0, 
